ID,Name,Url,Park,Start date,End date,Teams,City,State,Result
608,2023 Select Series,https://youth.2dsports.org/events/2023-select-series-ms-la-03-04-2023,,03/04,06/04/2023,61,MS,LA,"10u Select Series - $1,350.00, 11u Mississippi - $1,350.00, 11u NORTH LA - $1,350.00, 11u SWLA - $1,350.00, 11u SELA - $1,350.00, 12u Mississippi - $1,350.00, 12u NORTH LA - $1,350.00, 12u SWLA - $1,350.00, 12u SELA - $1,350.00, 13u Mississippi - $1,350.00, 13u NORTH LA - $1,350.00, 13u SWLA - $1,350.00, 13u SELA - $1,350.00, 14u Mississippi - $1,350.00, 14u NORTH LA - $1,350.00, 14u SWLA - $1,350.00, 14u SELA - $1,350.00"
599,2D Coach Pitch World Series - Powered by Marucci,https://youth.2dsports.org/events/2d-coach-pitch-world-series-powered-by-marucci-broussard-la-06-16-2023,SWLA TOURNAMENTS,06/15,6/18/2023,5,Broussard,LA,"7u AA - $295.00, 8u AA - $295.00, 8u Open - $295.00"
598,2D Cajun World Series - Powered by Marucci,https://youth.2dsports.org/events/2d-cajun-world-series-powered-by-marucci-broussard-youngsville-la-06-22-2023,SWLA TOURNAMENTS,06/22,6/25/2023,27,"Broussard, Youngsville",LA,"9u Major - $395.00, 9u AAA - $395.00, 9u AA - $395.00, 10u Major - $395.00, 10u AAA - $395.00, 10u AA - $395.00, 10u Open - $395.00, 11u Major - $395.00, 11u AAA - $395.00, 11u AA - $395.00, 12u Major - $395.00, 12u AAA - $395.00, 12u AA - $395.00, 12u Open - $395.00, 13u Major - $395.00, 13u AAA - $395.00, 13u AA - $395.00, 14u Open - $395.00"
676,2D Coach Pitch World Series - Powered By Marucci (Session II),https://youth.2dsports.org/events/coach-pitch-world-series-session-ii-ruston-la-06-22-2023,NORTH LA TOURNAMENTS,06/29,07/02/2023,0,Ruston,LA,"6u Open - $295.00, 7u Open - $295.00, 8u AA - $295.00, 8u Open - $295.00"
677,2D Mid-South World Series - Powered By Marucci,https://youth.2dsports.org/events/2d-mid-south-world-series-powered-by-marucci-ruston-la-06-29-2023,NORTH LA TOURNAMENTS,06/29,07/02/2023,0,Ruston,LA,"9u AA - $325.00, 9u Open - $325.00, 10u AA - $325.00, 10u Open - $325.00, 11u AA - $325.00, 11u Open - $325.00, 12u AA - $325.00, 12u Open - $325.00, 13u AA - $325.00, 13u Open - $325.00, 14u AA - $325.00, 14u Open - $325.00"
553,North Louisiana Winter Nationals,https://youth.2dsports.org/events/north-louisiana-winter-nationals-ruston-la-12-10-2022,NORTH LA TOURNAMENTS,12/10,2/11/2022,21,Ruston,LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $0.00, 9u Open - $0.00, 10u AA - $0.00, 10u Open - $0.00, 11u AA - $0.00, 11u Open - $0.00, 12u AA - $0.00, 12u Open - $0.00, 13u AA - $0.00, 13u Open - $0.00"
552,South Louisiana Winter Nationals,https://youth.2dsports.org/events/south-louisiana-winter-nationals-broussard-la-12-10-2022,SWLA TOURNAMENTS,12/10,2/11/2022,21,Broussard,LA,"8u Open - $0.00, 9u Open - $0.00, 10u Open - $0.00, 11u Open - $0.00, 12u Open - $0.00, 13u Open - $0.00"
561,Central City Classic,https://youth.2dsports.org/events/deep-south-kickoff-central-la-02-18-2023,DEEP SOUTH TOURNAMENTS,02/18,2/19/2023,15,"Central, Watson",LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u Open - $100.00"
601,Pre-Season Jamboree at Broussard (FREE ENTRY),https://youth.2dsports.org/events/broussard-jamboree-broussard-la-02-18-2023,SWLA TOURNAMENTS,02/18,2/19/2023,6,Broussard,LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $0.00, 9u Open - $0.00, 10u Open - $0.00, 11u Open - $0.00, 12u Open - $0.00, 13u Open - $0.00, 14u Open - $0.00"
626,Memphis Opener,https://youth.2dsports.org/events/memphis-opener-memphis-tn-02-25-2023,TENNESSEE TOURNAMENTS,02/25,2/26/2023,1,Memphis,TN,"7u AA - $0.00, 7u Open - $0.00, 8u AA - $0.00, 8u Open - $0.00, 9u AA - $125.00, 9u Open - $125.00, 10u AA - $125.00, 10u Open - $125.00, 11u AA - $125.00, 11u Open - $125.00, 12u AA - $125.00, 12u Open - $125.00, 13u AA - $125.00, 13u Open - $125.00, 14u AA - $125.00, 14u Open - $125.00"
627,North Arkansas Opener,https://youth.2dsports.org/events/north-arkansas-opener-paragould-ar-02-25-2023,ARKANSAS TOURNAMENTS,02/25,2/26/2023,0,Paragould,AR,"6u Open - $100.00, 7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u AA - $100.00, 14u Open - $100.00"
618,North Florida Opener,https://youth.2dsports.org/events/north-florida-opener-pensacola-fl-02-25-2023,FLORIDA TOURNAMENTS,02/25,2/26/2023,0,Live Oak,FL,"7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $250.00, 9u Open - $250.00, 10u AA - $250.00, 10u Open - $250.00, 11u AA - $250.00, 11u Open - $250.00, 12u AA - $250.00, 12u Open - $250.00, 13u AA - $250.00, 13u Open - $250.00, 14u AA - $250.00, 14u Open - $250.00"
565,Pensacola Opener- Totally Free Event & Baseballs,https://youth.2dsports.org/events/pensacola-opener-pensacola-fl-02-25-2023,FLORIDA TOURNAMENTS,02/25,2/26/2023,1,Pensacola,FL,"7u AA - $0.00, 7u Open - $0.00, 8u AA - $0.00, 8u Open - $0.00, 9u AA - $0.00, 9u Open - $0.00, 10u AA - $0.00, 10u Open - $0.00, 11u AA - $0.00, 11u Open - $0.00, 12u AA - $0.00, 12u Open - $0.00, 13u AA - $0.00, 13u Open - $0.00, 14u AA - $0.00, 14u Open - $0.00"
602,SWLA Season Opener,https://youth.2dsports.org/events/swla-season-opener-crowley-la-02-25-2023,SWLA TOURNAMENTS,02/25,2/26/2023,10,Crowley,LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u AA - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
628,Memphis Slugfest,https://youth.2dsports.org/events/memphis-slugfest-memphis-tn-03-03-2023,TENNESSEE TOURNAMENTS,03/03,03/05/2023,2,Memphis,TN,"7u AA - $0.00, 7u Open - $0.00, 8u AA - $0.00, 8u Open - $0.00, 9u AA - $125.00, 9u Open - $125.00, 10u AA - $125.00, 10u Open - $125.00, 11u AA - $125.00, 11u Open - $125.00, 12u AA - $125.00, 12u Open - $125.00, 13u AA - $125.00, 13u Open - $125.00, 14u AA - $125.00, 14u Open - $125.00"
709,Searcy Friday & Saturday Double,https://youth.2dsports.org/events/searcy-1-searcy-ar-03-04-2023,ARKANSAS TOURNAMENTS,03/03,03/04/2023,0,Searcy,AR,"6u Open - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u AA - $100.00, 14u Open - $100.00"
608,2023 Select Series,https://youth.2dsports.org/events/2023-select-series-ms-la-03-04-2023,,03/04,06/04/2023,61,MS,LA,"10u Select Series - $1,350.00, 11u Mississippi - $1,350.00, 11u NORTH LA - $1,350.00, 11u SWLA - $1,350.00, 11u SELA - $1,350.00, 12u Mississippi - $1,350.00, 12u NORTH LA - $1,350.00, 12u SWLA - $1,350.00, 12u SELA - $1,350.00, 13u Mississippi - $1,350.00, 13u NORTH LA - $1,350.00, 13u SWLA - $1,350.00, 13u SELA - $1,350.00, 14u Mississippi - $1,350.00, 14u NORTH LA - $1,350.00, 14u SWLA - $1,350.00, 14u SELA - $1,350.00"
629,March Madness in Paragould,https://youth.2dsports.org/events/march-madness-in-paragould-paragould-ar-03-04-2023,ARKANSAS TOURNAMENTS,03/04,03/05/2023,0,Paragould,AR,"6u Open - $100.00, 7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u AA - $100.00, 14u Open - $100.00"
678,Mississippi Opener,https://youth.2dsports.org/events/mississippi-opener-vicksburg-ms-03-04-2023,MISSISSIPPI TOURNAMENTS,03/04,03/05/2023,8,Vicksburg,MS,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u Select Series - $0.00, 10u AA - $150.00, 10u Open - $150.00, 11u Select Series - $0.00, 11u AA - $150.00, 11u Open - $150.00, 12u Select Series - $0.00, 12u AA - $150.00, 12u Open - $150.00, 13u Select Series - $0.00, 13u AA - $150.00, 13u Open - $150.00, 14u Select Series - $0.00, 14u Open - $150.00"
