Division,Fee,Event ID,Event Name,URL,Date,City,State,Park,Teams
7U,60,2391,Opening Weekend Classic,https://www.grandslamtournaments.com/baseball/Events/2391/opening-weekend-classic,25-Feb,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,1
8U,60,2391,Opening Weekend Classic,https://www.grandslamtournaments.com/baseball/Events/2391/opening-weekend-classic,26-Feb,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
9U,175,2391,Opening Weekend Classic,https://www.grandslamtournaments.com/baseball/Events/2391/opening-weekend-classic,27-Feb,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,1
10U,175,2391,Opening Weekend Classic,https://www.grandslamtournaments.com/baseball/Events/2391/opening-weekend-classic,28-Feb,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,1
11U,175,2391,Opening Weekend Classic,https://www.grandslamtournaments.com/baseball/Events/2391/opening-weekend-classic,1-Mar,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
12U,175,2391,Opening Weekend Classic,https://www.grandslamtournaments.com/baseball/Events/2391/opening-weekend-classic,2-Mar,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
13U,175,2391,Opening Weekend Classic,https://www.grandslamtournaments.com/baseball/Events/2391/opening-weekend-classic,3-Mar,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
7U,60,2392,Marchin' to the Ship,https://www.grandslamtournaments.com/baseball/Events/2392/marchin-to-the-ship,4-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
8U,60,2392,Marchin' to the Ship,https://www.grandslamtournaments.com/baseball/Events/2392/marchin-to-the-ship,5-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
9U,175,2392,Marchin' to the Ship,https://www.grandslamtournaments.com/baseball/Events/2392/marchin-to-the-ship,6-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
10U,175,2392,Marchin' to the Ship,https://www.grandslamtournaments.com/baseball/Events/2392/marchin-to-the-ship,7-Mar,DENHAM SPRINGS,LA,NORTH PARK,1
11U,175,2392,Marchin' to the Ship,https://www.grandslamtournaments.com/baseball/Events/2392/marchin-to-the-ship,8-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
12U,175,2392,Marchin' to the Ship,https://www.grandslamtournaments.com/baseball/Events/2392/marchin-to-the-ship,9-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
13U,175,2392,Marchin' to the Ship,https://www.grandslamtournaments.com/baseball/Events/2392/marchin-to-the-ship,10-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
14U,175,2392,Marchin' to the Ship,https://www.grandslamtournaments.com/baseball/Events/2392/marchin-to-the-ship,11-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
7U,60,2393,1st Annual Coaches Challenge,https://www.grandslamtournaments.com/baseball/Events/2393/1st-annual-coaches-challenge,12-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
8U,60,2393,1st Annual Coaches Challenge,https://www.grandslamtournaments.com/baseball/Events/2393/1st-annual-coaches-challenge,13-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
9U,175,2393,1st Annual Coaches Challenge,https://www.grandslamtournaments.com/baseball/Events/2393/1st-annual-coaches-challenge,14-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
10U,175,2393,1st Annual Coaches Challenge,https://www.grandslamtournaments.com/baseball/Events/2393/1st-annual-coaches-challenge,15-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
11U,175,2393,1st Annual Coaches Challenge,https://www.grandslamtournaments.com/baseball/Events/2393/1st-annual-coaches-challenge,16-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
12U,175,2393,1st Annual Coaches Challenge,https://www.grandslamtournaments.com/baseball/Events/2393/1st-annual-coaches-challenge,17-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
13U,175,2393,1st Annual Coaches Challenge,https://www.grandslamtournaments.com/baseball/Events/2393/1st-annual-coaches-challenge,18-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
14U,175,2393,1st Annual Coaches Challenge,https://www.grandslamtournaments.com/baseball/Events/2393/1st-annual-coaches-challenge,19-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
7U,60,2394,Shamrocks and Baseballs,https://www.grandslamtournaments.com/baseball/Events/2394/shamrocks-and-baseballs,20-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
8U,60,2394,Shamrocks and Baseballs,https://www.grandslamtournaments.com/baseball/Events/2394/shamrocks-and-baseballs,21-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
9U,175,2394,Shamrocks and Baseballs,https://www.grandslamtournaments.com/baseball/Events/2394/shamrocks-and-baseballs,22-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
10U,175,2394,Shamrocks and Baseballs,https://www.grandslamtournaments.com/baseball/Events/2394/shamrocks-and-baseballs,23-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
11U,175,2394,Shamrocks and Baseballs,https://www.grandslamtournaments.com/baseball/Events/2394/shamrocks-and-baseballs,24-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
12U,175,2394,Shamrocks and Baseballs,https://www.grandslamtournaments.com/baseball/Events/2394/shamrocks-and-baseballs,25-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
13U,175,2394,Shamrocks and Baseballs,https://www.grandslamtournaments.com/baseball/Events/2394/shamrocks-and-baseballs,26-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
14U,175,2394,Shamrocks and Baseballs,https://www.grandslamtournaments.com/baseball/Events/2394/shamrocks-and-baseballs,27-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
13U,175,2431,Thibodaux Turf Opener,https://www.grandslamtournaments.com/baseball/Events/2431/thibodaux-turf-opener,28-Mar,THIBODAUX,LA,HERO'S PARK,0
